iter	RMSE
0	3224.995493
1	3053.633316
2	2887.092457
3	2733.690215
4	2592.417482
5	2459.749783
6	2330.594455
7	2215.277665
8	2105.479722
9	1994.268603
10	1891.440664
11	1799.665197
12	1712.872566
13	1625.771946
14	1546.412043
15	1472.162682
16	1399.798341
17	1330.349778
18	1270.140422
19	1213.573695
20	1157.194331
21	1104.7199
22	1057.38301
23	1013.037094
24	971.7722619
25	930.8601843
26	891.0314875
27	854.9472908
28	823.0538864
29	791.339274
30	762.0558604
31	734.6281988
32	708.2720573
33	683.3062994
34	658.6362371
35	635.9433354
36	614.9114786
37	595.3954846
38	577.6283941
39	559.9917662
40	544.2682672
41	528.4854436
42	513.4260755
43	500.8097049
44	489.2249156
45	476.6524966
46	465.5235866
47	455.6266947
48	446.2283457
49	437.0005815
50	429.097173
51	421.3091075
52	413.849537
53	407.4438654
54	406.1491056
55	404.6444929
56	399.236757
57	397.9274987
58	391.7322339
59	386.7522193
60	385.4127766
61	384.1048175
62	382.9157186
63	381.8601373
64	380.6209731
65	375.5755562
66	374.5002076
67	370.2745753
68	369.1546556
69	368.0670657
70	365.3954797
71	364.4352149
72	363.5123102
73	362.6036526
74	361.731224
75	360.9613321
76	357.094857
77	354.1122414
78	353.2131775
79	352.4477277
80	350.2270545
81	349.5660737
82	345.5375192
83	344.9042372
84	344.137447
85	343.5450178
86	340.6684015
87	338.2672848
88	337.6308723
89	336.9608063
90	336.3813315
91	335.8103867
92	332.3830604
93	331.8364533
94	329.6100255
95	329.0214197
96	328.5262053
97	328.079388
98	325.9357373
99	325.4116327
100	324.9499588
101	322.8763424
102	322.3851187
103	320.7619983
104	320.3093481
105	319.916855
106	319.4055529
107	319.0755088
108	317.1267629
109	315.2260791
110	314.9155632
111	313.1573916
112	311.8665592
113	310.3398279
114	310.0578712
115	308.7828701
116	308.4444771
117	308.1885125
118	307.9085974
119	307.6237612
120	307.3585002
121	305.5923468
122	305.3390561
123	303.6743661
124	302.9086115
125	302.1678121
126	301.4339258
127	301.2114322
128	298.9214553
129	297.4142054
130	296.2596177
131	294.9297693
132	294.7083847
133	294.5250957
134	293.1413429
135	292.912078
136	292.4976182
137	292.3352428
138	291.6375574
139	291.4560275
140	290.1715214
141	290.0221998
142	289.732528
143	289.5934292
144	289.4586331
145	289.3405492
146	288.2819372
147	287.6298735
148	286.8545926
149	286.7127327
150	286.1783699
151	285.4361087
152	285.310295
153	284.5393677
154	284.0352349
155	283.2644152
156	282.617518
157	282.5226475
158	282.412968
159	282.207891
160	281.5358134
161	280.8286927
162	280.157768
163	279.6093965
164	279.5312469
165	278.9289729
166	278.5555295
167	278.1241461
168	277.5516252
169	277.1527997
170	276.5073454
171	275.7483803
172	275.1026226
173	274.7799116
174	273.8821467
175	273.6726349
176	273.6174576
177	273.4371809
178	273.3732747
179	272.5917503
180	271.7896449
181	271.0155427
182	270.9666556
183	270.5575054
184	270.027071
185	269.3947804
186	269.3186551
187	269.0991539
188	269.0589209
189	269.019822
190	268.5143721
191	268.0846661
192	268.0495254
193	267.7710956
194	267.2043535
195	266.5115629
196	266.478773
197	266.0228182
198	265.9924846
199	265.9625547
200	265.4382684
201	265.0155246
202	264.6311313
203	264.5151261
204	264.1129022
205	263.771256
206	263.7459209
207	263.2702532
208	262.8133564
209	262.3590749
210	261.6321966
211	261.2771591
212	260.9941168
213	260.5211619
214	260.1209061
215	260.0972553
216	259.8846684
217	259.8622225
218	259.4422977
219	259.1482347
220	258.574557
221	258.085031
222	257.7105577
223	257.4058323
224	256.9399821
225	256.5712289
226	256.2033853
227	256.1840756
228	255.7512014
229	255.4660416
230	255.1420474
231	254.880236
232	254.6513346
233	254.3032308
234	253.9721841
235	253.6898711
236	253.6633045
237	253.2637126
238	252.7686127
239	252.4643184
240	252.1868094
241	251.7119752
242	251.4439323
243	251.1279646
244	250.8385699
245	250.4078168
246	250.1658548
247	249.9155871
248	249.5487321
249	249.154189
250	248.955134
251	248.60336
252	248.1893019
253	247.8882157
254	247.6219466
255	247.264007
256	247.0710246
257	246.8742224
258	246.6153195
259	246.3266738
260	246.1441199
261	245.8806999
262	245.6566856
263	245.4127864
264	245.1140093
265	244.7583135
266	244.4631131
267	244.177409
268	243.9715266
269	243.7982134
270	243.5843897
271	243.3570221
272	243.1399164
273	242.8543721
274	242.6309071
275	242.4379076
276	242.274378
277	241.8813794
278	241.5946236
279	241.4422657
280	241.1044828
281	240.6930601
282	240.4119494
283	239.8696131
284	239.5439763
285	239.237892
286	239.0647924
287	238.8650137
288	238.7170957
289	238.546726
290	238.3281716
291	238.0977602
292	237.7323664
293	237.4392921
294	237.2752774
295	237.1117168
296	236.8956166
297	236.7153034
298	236.4102524
299	236.2004179
300	235.9800993
301	235.8748361
302	235.7740533
303	235.5294796
304	234.8682032
305	234.3857275
306	234.1106676
307	233.8902423
308	233.7214173
309	233.4980195
310	233.2459916
311	233.0553587
312	232.5472347
313	232.394078
314	232.0460708
315	231.9031653
316	231.7837749
317	231.579866
318	230.9039863
319	230.8199985
320	230.6958826
321	230.5782006
322	230.2869305
323	230.101983
324	229.8553806
325	229.4862013
326	229.3197859
327	229.1237794
328	228.9589994
329	228.8316973
330	228.6499464
331	228.5704694
332	228.3077542
333	228.2043302
334	228.1415971
335	228.0162086
336	227.8515689
337	227.7279268
338	227.5636199
339	227.3083676
340	227.1166377
341	226.9615104
342	226.8225412
343	226.6640925
344	226.5358231
345	226.4147564
346	225.8338789
347	225.5085174
348	225.3643428
349	225.1361087
350	224.5688699
351	224.457207
352	224.3247115
353	224.1566008
354	224.0453686
355	223.7398309
356	223.593162
357	223.3501895
358	223.1999554
359	223.0256394
360	222.9233369
361	222.3686268
362	222.1108935
363	221.9218213
364	221.5881008
365	221.4864364
366	221.4068568
367	221.2813279
368	221.0305556
369	220.8751826
370	220.7435629
371	220.5761224
372	220.4148628
373	220.3215659
374	220.1906029
375	220.1605806
376	219.5116033
377	219.2638394
378	219.0937199
379	218.9253578
380	218.8030265
381	218.5969456
382	218.487648
383	217.9165606
384	217.7857742
385	217.7269364
386	217.5331565
387	216.9887991
388	216.9343219
389	216.7701944
390	216.7217482
391	216.6684222
392	216.3782765
393	216.241325
394	216.0160775
395	215.7924547
396	215.2451211
397	215.100736
398	215.0495513
399	214.9579661
400	214.8697972
401	214.6734216
402	214.5332936
403	214.4450397
404	214.1805317
405	214.1015439
406	213.8271209
407	213.6477059
408	213.5489544
409	213.4208264
410	213.2716611
411	213.138089
412	213.0454213
413	212.9573884
414	212.818895
415	212.6160586
416	212.1154533
417	211.9724249
418	211.8637879
419	211.7079801
420	211.6276333
421	211.5429619
422	211.3977751
423	210.9112524
424	210.7606824
425	210.6106405
426	210.5286353
427	210.4362343
428	209.9640588
429	209.9179547
430	209.8584711
431	209.6538083
432	209.5754447
433	209.3271914
434	208.8155047
435	208.7289719
436	208.6545667
437	208.2084353
438	208.1386788
439	208.0774824
440	207.8368043
441	207.5757358
442	207.5083783
443	207.4262622
444	207.1000175
445	206.9488725
446	206.7989491
447	206.7526945
448	206.6628816
449	206.5957696
450	206.5527923
451	206.3617639
452	206.2527104
453	206.1406822
454	206.037706
455	205.9344561
456	205.8305764
457	205.7549065
458	205.3204086
459	205.211246
460	205.0789487
461	204.8873592
462	204.6631426
463	204.5489153
464	204.3936385
465	204.3149367
466	204.2009395
467	204.1430581
468	203.6759568
469	203.6285452
470	203.5169441
471	203.4871146
472	203.063431
473	202.8961675
474	202.6987975
475	202.4807348
476	202.3443265
477	202.1581774
478	201.7447225
479	201.5750575
480	201.5181234
481	201.4574238
482	201.4159468
483	201.013598
484	200.8347526
485	200.6846501
486	200.539071
487	200.5077036
488	200.4169645
489	200.3867165
490	200.3445238
491	200.243333
492	200.1267148
493	199.7263063
494	199.6029139
495	199.0252749
496	198.8823595
497	198.79474
498	198.6323932
499	198.5400241
500	198.5122451
501	198.4145903
502	198.3871056
503	198.2815228
504	198.2216519
505	198.0879315
506	197.9763069
507	197.8209494
508	197.6667781
509	197.3692514
510	196.9495897
511	196.8465269
512	196.7752252
513	196.7083268
514	196.5927931
515	196.4679555
516	196.3731507
517	196.2851156
518	196.1825685
519	196.0391235
520	196.012956
521	195.8812647
522	195.5035072
523	195.44551
524	195.355726
525	195.3093745
526	195.162621
527	195.0919721
528	195.0356443
529	194.9588561
530	194.822367
531	194.7983661
532	194.4312371
533	194.2917256
534	194.2093054
535	193.7134219
536	193.6891578
537	193.1450219
538	193.0441283
539	192.9964391
540	192.9817184
541	192.8383559
542	192.497058
543	192.3454926
544	192.2984412
545	192.2105207
546	192.1550758
547	192.0677889
548	191.9733482
549	191.8967757
550	191.7818129
551	191.5148751
552	191.4785956
553	191.3113207
554	191.2558916
555	191.1442946
556	191.0267444
557	190.9060371
558	190.7196964
559	190.6294159
560	190.5540208
561	190.4809059
562	190.4044922
563	190.3008583
564	190.2282294
565	189.9048778
566	189.858729
567	189.7510193
568	189.6663823
569	189.5430298
570	189.4642005
571	189.4380733
572	189.1245721
573	188.6371121
574	188.5633588
575	188.5502839
576	188.3591379
577	188.3266459
578	188.2583909
579	188.1251831
580	188.0555414
581	188.0036709
582	187.9362128
583	187.7496527
584	187.6304985
585	187.5886935
586	187.52165
587	187.0547419
588	187.0133774
589	186.9216606
590	186.9096783
591	186.8984709
592	186.8154146
593	186.5149871
594	186.4095002
595	186.258199
596	186.1012879
597	185.9744323
598	185.7071266
599	185.5989852
600	185.5193439
601	185.4321885
602	185.3854185
603	185.2313956
604	184.9412525
605	184.7966947
606	184.6978087
607	184.6183153
608	184.3015384
609	184.2279589
610	184.1695201
611	184.0576416
612	183.9181326
613	183.8590027
614	183.7627435
615	183.6336076
616	183.5678256
617	183.454574
618	183.3410807
619	183.3122265
620	183.2157708
621	183.1478882
622	183.0176211
623	182.9280719
624	182.8158245
625	182.753722
626	182.435218
627	182.3254391
628	182.3029612
629	182.1773666
630	182.0748181
631	181.8804585
632	181.7848722
633	181.7159643
634	181.5223942
635	181.476644
636	181.4675038
637	181.3548578
638	181.2577391
639	181.1165666
640	181.1034492
641	181.0368346
642	180.9514397
643	180.8874362
644	180.8624481
645	180.8043316
646	180.7787686
647	180.6882973
648	180.5573024
649	180.4667372
650	180.347133
651	180.3164124
