iter	Passed	Remaining
0	3	3151
1	5	2730
2	7	2513
3	9	2444
4	11	2377
5	13	2319
6	16	2286
7	18	2248
8	20	2234
9	22	2225
10	24	2231
11	27	2233
12	29	2232
13	31	2216
14	33	2206
15	36	2221
16	38	2212
17	40	2196
18	42	2184
19	44	2176
20	46	2172
21	48	2160
22	50	2151
23	52	2145
24	54	2136
25	56	2131
26	58	2120
27	60	2109
28	62	2102
29	64	2100
30	67	2100
31	69	2093
32	71	2099
33	74	2104
34	76	2118
35	79	2129
36	81	2124
37	83	2124
38	86	2121
39	88	2115
40	90	2108
41	92	2103
42	94	2096
43	96	2094
44	98	2089
45	100	2086
46	102	2080
47	104	2073
48	106	2066
49	108	2061
50	110	2059
51	112	2056
52	114	2054
53	117	2054
54	119	2049
55	121	2042
56	123	2037
57	124	2020
58	126	2017
59	128	2019
60	131	2016
61	132	2011
62	134	2004
63	136	1998
64	138	1994
65	140	1992
66	142	1986
67	144	1982
68	146	1978
69	149	1990
70	152	1989
71	154	1987
72	156	1981
73	158	1977
74	159	1972
75	161	1962
76	163	1959
77	165	1955
78	167	1951
79	168	1942
80	170	1938
81	172	1928
82	174	1926
83	176	1922
84	178	1919
85	179	1908
86	181	1905
87	183	1902
88	185	1896
89	187	1892
90	188	1886
91	190	1883
92	193	1883
93	194	1879
94	196	1876
95	199	1874
96	200	1868
97	202	1865
98	204	1862
99	206	1856
100	207	1851
101	210	1849
102	212	1847
103	214	1843
104	215	1840
105	217	1834
106	219	1831
107	221	1828
108	223	1827
109	225	1825
110	226	1818
111	228	1815
112	230	1812
113	232	1810
114	234	1803
115	236	1801
116	238	1798
117	239	1792
118	241	1786
119	243	1783
120	244	1777
121	246	1775
122	248	1771
123	250	1772
124	252	1770
125	254	1768
126	256	1766
127	258	1760
128	260	1760
129	263	1760
130	267	1775
131	270	1777
132	272	1773
133	273	1767
134	275	1767
135	278	1767
136	280	1766
137	281	1760
138	283	1759
139	285	1756
140	288	1755
141	290	1753
142	292	1752
143	294	1747
144	296	1746
145	297	1740
146	299	1738
147	301	1737
148	303	1736
149	305	1733
150	307	1731
151	310	1731
152	312	1729
153	315	1732
154	317	1732
155	320	1732
156	322	1730
157	323	1725
158	325	1723
159	328	1722
160	330	1721
161	332	1719
162	334	1719
163	337	1720
164	339	1717
165	342	1718
166	344	1719
167	347	1719
168	350	1721
169	352	1722
170	355	1723
171	358	1725
172	362	1733
173	365	1733
174	367	1733
175	370	1732
176	373	1736
177	379	1753
178	382	1756
179	389	1774
180	394	1787
181	409	1840
182	413	1845
183	416	1847
184	419	1847
185	422	1847
186	424	1847
187	430	1859
188	433	1860
189	436	1860
190	439	1860
191	442	1860
192	443	1854
193	447	1857
194	450	1857
195	452	1856
196	454	1854
197	457	1854
198	460	1852
199	462	1851
200	465	1850
201	469	1854
202	471	1852
203	480	1875
204	483	1874
205	486	1873
206	488	1871
207	491	1869
208	493	1868
209	496	1868
210	499	1867
211	502	1866
212	504	1864
213	507	1862
214	509	1861
215	512	1858
216	514	1855
217	516	1852
218	519	1851
219	521	1849
220	524	1847
221	526	1845
222	529	1844
223	531	1842
224	534	1842
225	537	1840
226	540	1839
227	542	1838
228	545	1838
229	548	1836
230	551	1834
231	553	1833
232	557	1833
233	559	1831
234	562	1830
235	565	1829
236	567	1827
237	570	1826
238	574	1830
239	577	1829
240	580	1827
241	584	1829
242	597	1861
243	600	1860
244	603	1859
245	606	1857
246	609	1856
247	611	1854
248	614	1854
249	617	1853
250	620	1852
251	625	1856
252	629	1858
253	635	1866
254	639	1867
255	643	1870
256	647	1871
257	650	1870
258	653	1869
259	655	1867
260	659	1866
261	662	1865
262	665	1863
263	667	1861
264	670	1859
265	673	1858
266	676	1857
267	679	1856
268	683	1858
269	687	1859
270	692	1862
271	695	1860
272	697	1857
273	700	1855
274	703	1854
275	706	1852
276	708	1849
277	711	1846
278	714	1845
279	716	1843
280	719	1841
281	722	1839
